Act_Name, Year, File_Name,
Madhya Pradesh Cement Apmishran Nivaran Adhiniyam, 1981,	
Madhya Pradesh Public Trusts (Amendment and Validation) Act, 1964,	
Madhya Pradesh General Clauses Act, 1957,	 1991_S_2.txt	 1998_S_378.txt	 1972_M_91.txt	
Madhya Pradesh Contingency Fund Act, 1957,	
Madhya Pradesh Professional Tax Act, 1995,	
Madhya Pradesh Samaj Ke Kamjor Vargon Ke Krishi-Bhumi Dharkakon Ka Udhar Dene Walon Ke Bhumi Iiadapane Sambandhi Kuchakron Se ParitranTatha Mukti Adhiniyam, 1976,	
Madhya Pradesh Rajya Sadak Parivahan Seva (Bina Tikat Yatra Ki Rok) Act, 1974,	
Madhya Pradesh Government Electrical Undertakings (Dues Recovery) Act, 1961,	
Madhya Pradesh Van Bhumi Shashwat Patta Prati Sanharan Adhiniyam, 1973,	
Madhya Pradesh Vat (Amendment) Act, 2016,	
Madhya Pradesh Land Revenue Code, 1959,	 2000_K_113.txt	 1996_S_776.txt	 1971_P_15.txt	 2014_S_329.txt	 1968_R_31.txt	 2008_K_216.txt	 2016_R_105.txt	 1979_M_63.txt	 1966_K_2.txt	 1996_R_129.txt	 2001_U_177.txt	 1999_S_167.txt	 1977_S_131.txt	 2006_S_456.txt	 1978_K_20.txt	 2009_P_4.txt	 2015_S_342.txt	 1999_S_451.txt	 2014_R_100.txt	 1995_B_65.txt	 2012_V_26.txt	 2008_S_1014.txt	 2011_J_11.txt	 2015_N_14.txt	 1984_A_28.txt	 2017_S_426.txt	 1998_A_3.txt	 2008_S_302.txt	 2001_P_117.txt	 2015_M_40.txt	 1991_K_31.txt	 2004_H_117.txt	 1968_S_18.txt	 1992_M_110.txt	 1969_P_21.txt	 2003_R_111.txt	
Indore Special Economic Zone (Special Provisions) Act, 2003,	
Madhya Pradesh Rajya Suraksha Act, 1990,	
Madhya Pradesh Nagarpalik Vidhi (Tritiya Sanshodhan) Adhiniyam, 2016,	
Madhya Pradesh Fisheries Act, 1948,	
Bhilsa Ramlila Fair Act, 1956,	
Madhya Pradesh Commercial Tax (Vanijyik Kar (Sanshodhan) Adhiniyam) (Amendment) Act, 1999,	
Madhya Pradesh Madhyastham Adhikaran Act, 1983,	
Madhya Pradesh Vidyut Sudhar Adhiniyam, 2000,	 2016_S_31.txt	 2003_M_37.txt	
Bihar and Orissa Public Demand Recovery (Jharkhand-Amendment) Act, 2016,	
Jharkhand Value Added Tax (Amendment) Act, 2007,	
Jharkhand Appropriation Act, 2010,	
Jharkhand Appropriation Act, 2013,	
Jharkhand Value Added Tax (Amendment) Act, 2017,	
Jharkhand Appropriation (No. 2) Act, 2013,	
Jharkhand Panchayat Raj (Amendment) Act, 2010,	
East Punjab Distressed Persons (Facilities for Loans) Act, 1958,	
East Punjab Damaged Areas Act, 1949,	
Haryana Mechanical Vehicles (Bridge Tolls) Act, 1974,	
Haryana General Sales Tax (Amendment) Act, 2001,	
Haryana Contingency Fund Act, 1966,	
Haryana General Sales Tax (Amendment) Act, 1991,	
East Punjab Improved Seeds and Seedlings Act, 1949,	
Indian Forest (Haryana Second Amendment) Act, 1973,	
Haryana Ceiling on Land Holdings Act, 1972,	 2000_S_443.txt	 1994_S_386.txt	 1993_F_9.txt	 1996_U_28.txt	 2002_U_110.txt	 1996_D_89.txt	 1994_S_395.txt	 2001_S_715.txt	 1998_K_95.txt	 2006_S_374.txt	 1994_A_53.txt	 1993_F_8.txt	 2005_S_664.txt	 1998_S_33.txt	 1996_F_15.txt	 2007_S_492.txt	 1996_C_202.txt	
Haryana Health Care Workers Act, 2005,	
